incident_id,timestamp,severity,category,service,region,environment,title,description,root_cause,resolution,resolution_time_min,sla_breach,txn_count_affected,mas_reporting_flag,assigned_to,team,runbook_id
INC-20230119-031,2023-01-19 14:39:00,P2,FX Feed,reuters-adapter-sg,Singapore,Production,FX Feed issue on reuters-adapter-sg — Singapore Production,P2 alert: FX Feed degradation detected on reuters-adapter-sg in Singapore Production at 14:39 SGT.,Reuters RMDS adapter lost TCP connection to primary feed server — no automatic reconnect configured,Manually restarted Reuters RMDS adapter. Configured automatic reconnect with exponential backoff. Stable after 12 min.,44,No,0,No,Ahmed Hassan,Market Data Team,RB-FX-FEED-008
INC-20230122-077,2023-01-22 22:34:00,P3,SWIFT Queue,swift-mq-sg-01,Singapore,Production,SWIFT Queue issue on swift-mq-sg-01 — Singapore Production,P3 alert: SWIFT Queue degradation detected on swift-mq-sg-01 in Singapore Production at 22:34 SGT.,SWIFT ACK processor deadlocked waiting for a lock held by a message redelivery thread,Restarted ACK processor — deadlock resolved on restart. Added deadlock detection timeout of 60s to config.,36,No,1238,Yes,Sanjay Patel,Messaging Infrastructure Team,RB-SWIFT-MQ-055
INC-20230202-091,2023-02-02 14:05:00,P2,Payment Gateway,payment-gateway-sg,Singapore,Production,Payment Gateway issue on payment-gateway-sg — Singapore Production,P2 alert: Payment Gateway degradation detected on payment-gateway-sg in Singapore Production at 14:05 SGT.,Rate limiting triggered on the gateway after batch re-submission of 2000 failed transactions within 5 minutes,Removed rate limit temporarily via gateway admin API. Re-submitted transactions in controlled batches of 100.,28,No,2253,Yes,Rajan Kumar,Payments Platform Team,RB-PAY-GW-017
INC-20230207-105,2023-02-07 10:50:00,P3,Payment Gateway,visa-adapter-sg,Singapore,Production,Payment Gateway issue on visa-adapter-sg — Singapore Production,P3 alert: Payment Gateway degradation detected on visa-adapter-sg in Singapore Production at 10:50 SGT.,Message queue consumer thread pool starved — payment gateway unable to dequeue settlement confirmations,"Increased consumer thread pool from 20 to 60. Cleared backlog of 1,200 messages. Restored in 18 min.",27,No,118,No,Rajan Kumar,Payments Platform Team,RB-PAY-GW-017
INC-20230220-020,2023-02-20 22:40:00,P2,Batch Job,eod-reconciliation,Hong Kong,Production,Batch Job issue on eod-reconciliation — Hong Kong Production,P2 alert: Batch Job degradation detected on eod-reconciliation in Hong Kong Production at 22:40 SGT.,EOD reconciliation batch timed out — source data extract took 3x longer than SLA due to missing index on trade table,Added missing index on trade_date column in trade table. Re-ran batch — completed in 18 min vs 3-hour timeout.,11,No,0,No,Liu Wei,Batch Processing Team,RB-BATCH-EOD-023
INC-20230222-102,2023-02-22 15:50:00,P3,Application Error,mobile-banking-api,Singapore,Production,Application Error issue on mobile-banking-api — Singapore Production,P3 alert: Application Error degradation detected on mobile-banking-api in Singapore Production at 15:50 SGT.,Internet banking session timeout set too aggressively in last release — users unable to complete multi-step transactions,Rolled back session timeout change to previous value. Scheduled proper load testing before re-deployment.,53,No,0,No,Tanvi Sharma,Application Support Team,RB-APP-ERR-044
INC-20230224-017,2023-02-24 02:46:00,P3,Payment Gateway,payment-gateway-hk,Singapore,Production,Payment Gateway issue on payment-gateway-hk — Singapore Production,P3 alert: Payment Gateway degradation detected on payment-gateway-hk in Singapore Production at 02:46 SGT.,SSL certificate expiry on payment-gateway-sg caused TLS handshake failures for all downstream consumers,Renewed SSL certificate via automation pipeline. Restarted gateway service. Verified TLS handshake successful.,82,No,2323,Yes,Rajan Kumar,Payments Platform Team,RB-PAY-GW-017
INC-20230302-088,2023-03-02 07:43:00,P1,Payment Gateway,visa-adapter-sg,Singapore,Production,Payment Gateway issue on visa-adapter-sg — Singapore Production,P1 alert: Payment Gateway degradation detected on visa-adapter-sg in Singapore Production at 07:43 SGT.,Message queue consumer thread pool starved — payment gateway unable to dequeue settlement confirmations,"Increased consumer thread pool from 20 to 60. Cleared backlog of 1,200 messages. Restored in 18 min.",61,Yes,105,No,Rajan Kumar,Payments Platform Team,RB-PAY-GW-017
INC-20230305-004,2023-03-05 11:54:00,P1,Batch Job,trade-settlement-batch,Singapore,Production,Batch Job issue on trade-settlement-batch — Singapore Production,P1 alert: Batch Job degradation detected on trade-settlement-batch in Singapore Production at 11:54 SGT.,"Batch scheduler misconfigured after DST change — jobs triggered 1 hour early, conflicting with live trading window",Corrected DST offset in scheduler config. Re-ran affected jobs in correct window. No data integrity issues.,30,No,0,No,Liu Wei,Batch Processing Team,RB-BATCH-EOD-023
INC-20230308-067,2023-03-08 22:49:00,P4,Network,load-balancer-sg,Hong Kong,Production,Network issue on load-balancer-sg — Hong Kong Production,P4 alert: Network degradation detected on load-balancer-sg in Hong Kong Production at 22:49 SGT.,Load balancer health check misconfigured after deployment — incorrectly marked healthy app nodes as down,Corrected health check endpoint path in load balancer config. Deployed config — traffic redistributed correctly.,58,No,0,No,Farid Osman,Network Operations Team,RB-NET-VPC-011
INC-20230310-015,2023-03-10 20:19:00,P3,DB Connectivity,reporting-db-hk,Singapore,Staging,DB Connectivity issue on reporting-db-hk — Singapore Staging,P3 alert: DB Connectivity degradation detected on reporting-db-hk in Singapore Staging at 20:19 SGT.,Network timeout between application server and DB replica caused by VPC routing misconfiguration,Corrected VPC routing table entry. Verified connectivity between all app servers and DB replicas.,101,No,2079,Yes,Priya Nair,DB Operations Team,RB-DB-CONN-042
